novice_prompt,expert_prompt
Sad piano and string music for a dramatic movie scene.,"This is a melancholic piano ballad that features a sustained string section and a mellow piano melody, accompanied by a soft, soulful female vocal performance, evoking a sense of sorrow and emotional depth, making it suitable for a dramatic movie scene. The piece has a slow and contemplative tempo"
A man plays guitar and harmonica while talking in a song about music.,"This is a folk song that features a male vocalist singing and playing the guitar and harmonica, with a focus on acoustic instrumentation and a conversational, storytelling style. The song's lyrics are a nostalgic and introspective meditation on music, with a simple, yet effective, accompaniment that underscores the"
"Intense combat scene with metallic and wooden sounds, ending with dramatic orchestra music.","This piece is a cinematic soundtrack that features a dramatic and intense instrumental piece, with a focus on metallic percussion, including a prominent snare drum and cymbal crashes, accompanied by a driving bass line and a rhythmic pattern played on a wooden instrument, such as a taiko drum. The piece"
An emotional and sad melody played on a theremin with string background.,"This is a melancholic piece of music that features a theremin as the main melodic instrument, accompanied by a lush string section that provides a somber and emotive background. The theremin's wavering, ethereal sound is expertly woven with the strings to create a poignant and sorrowful"
"A fun song with maracas and guitar, like a jam session at a music store","This is an instrumental piece that features a lively and upbeat jam session atmosphere, with a maracas-driven rhythmic accompaniment and a guitar playing a syncopated melody, evoking the feeling of a music store jam session. The tempo is medium fast with a strong emphasis on percussion, guitar chords"
"A sunny day tune with slide guitar melody, bass, acoustic guitar, and drums.","This is a folk music piece with a cheerful and optimistic atmosphere, featuring a slide guitar melody accompanied by a steady bass line, acoustic guitar strumming, and a lively drum beat, evoking a carefree and joyful mood. The song's instrumentation and tempo are reminiscent of a classic country or blues"
"A fast instrumental music with electric guitar, intense and aggressive, like heavy metal.","This is a high-energy instrumental metal piece, characterized by a fast-paced tempo and aggressive electric guitar riffs, accompanied by a driving rhythm section that features a strong bass line and a pounding drum beat. The music has a intense and aggressive atmosphere, with the electric guitar playing a prominent lead melody that is"
"A fun and lively children's nursery rhyme with male and female voices, slow tempo, and simple percussion.","This children's nursery rhyme features a lively and upbeat melody performed by a male and female vocalist in a call-and-response style, accompanied by a simple and repetitive percussion pattern that is characteristic of traditional children's music. The tempo is slow and steady, with a focus on the vocal performance and the rhythmic"
"A funny video game theme with robotic voices singing a parody of ""Barbie Girl"" in a German accent, accompanied by quirky electronic sounds.","This is a video game theme that features a parody of the song ""Barbie Girl"" with robotic voices singing in a German accent, accompanied by a quirky electronic soundscape that includes a distorted synthesizer, a pulsing bassline, and a driving drum machine beat. The song's catchy melody and"
"A romantic live song with male singer, guitar, and percussion buildup.","This is a live ballad song that features a male vocalist singing over a simple guitar accompaniment, with a gradual buildup of percussion instruments to create a romantic and intimate atmosphere. The song's tempo is slow and steady, with a focus on the emotional delivery of the lyrics and the subtle, emot"
